Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
KEN,2015-01-01,2015-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,2235,E,
KEN,2016-01-01,2016-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,2173,E,
KEN,2017-01-01,2017-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,2193,E,
KEN,2018-01-01,2018-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,2227,E,
KEN,2019-01-01,2019-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2019,2019,kcal/cap/d,2278,E,
KEN,2020-01-01,2020-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2020,2020,kcal/cap/d,2251,E,
KEN,2021-01-01,2021-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2021,2021,kcal/cap/d,2163,E,
KEN,2022-01-01,2022-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2022,2022,kcal/cap/d,2133,E,
KEN,2023-01-01,2023-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,2160,E,
KEN,2024-01-01,2024-12-31,114,'404,Kenya,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2024,2024,kcal/cap/d,2190,E,
KEN,2000-01-01,2002-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20002002,2002,kcal/cap/d,2001,E,
KEN,2001-01-01,2003-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20012003,2003,kcal/cap/d,1985,E,
KEN,2002-01-01,2004-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20022004,2004,kcal/cap/d,1971,E,
KEN,2003-01-01,2005-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20032005,2005,kcal/cap/d,2018,E,
KEN,2004-01-01,2006-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20042006,2006,kcal/cap/d,2068,E,
KEN,2005-01-01,2007-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20052007,2007,kcal/cap/d,2093,E,
KEN,2006-01-01,2008-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20062008,2008,kcal/cap/d,2073,E,
KEN,2007-01-01,2009-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20072009,2009,kcal/cap/d,2073,E,
KEN,2008-01-01,2010-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20082010,2010,kcal/cap/d,2114,E,
KEN,2009-01-01,2011-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20092011,2011,kcal/cap/d,2157,E,
KEN,2010-01-01,2012-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20102012,2012,kcal/cap/d,2190,E,
KEN,2011-01-01,2013-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20112013,2013,kcal/cap/d,2209,E,
KEN,2012-01-01,2014-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20122014,2014,kcal/cap/d,2225,E,
KEN,2013-01-01,2015-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20132015,2015,kcal/cap/d,2233,E,
KEN,2014-01-01,2016-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20142016,2016,kcal/cap/d,2213,E,
KEN,2015-01-01,2017-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20152017,2017,kcal/cap/d,2200,E,
KEN,2016-01-01,2018-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20162018,2018,kcal/cap/d,2198,E,
KEN,2017-01-01,2019-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20172019,2019,kcal/cap/d,2233,E,
KEN,2018-01-01,2020-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20182020,2020,kcal/cap/d,2252,E,
KEN,2019-01-01,2021-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20192021,2021,kcal/cap/d,2230,E,
KEN,2020-01-01,2022-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20202022,2022,kcal/cap/d,2182,E,
KEN,2021-01-01,2023-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20212023,2023,kcal/cap/d,2152,E,
KEN,2022-01-01,2024-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20222024,2024,kcal/cap/d,2161,E,
KEN,2023-01-01,2025-12-31,114,'404,Kenya,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20232025,2025,kcal/cap/d,2187,E,
KEN,2000-01-01,2002-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20002002,2002,%,55,E,
KEN,2001-01-01,2003-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20012003,2003,%,56,E,
KEN,2002-01-01,2004-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20022004,2004,%,55,E,
KEN,2003-01-01,2005-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20032005,2005,%,56,E,
KEN,2004-01-01,2006-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20042006,2006,%,56,E,
KEN,2005-01-01,2007-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20052007,2007,%,56,E,
KEN,2006-01-01,2008-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20062008,2008,%,56,E,
KEN,2007-01-01,2009-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20072009,2009,%,55,E,
KEN,2008-01-01,2010-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20082010,2010,%,56,E,
KEN,2009-01-01,2011-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20092011,2011,%,57,E,
KEN,2010-01-01,2012-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20102012,2012,%,59,E,
KEN,2011-01-01,2013-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20112013,2013,%,59,E,
KEN,2012-01-01,2014-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20122014,2014,%,58,E,
KEN,2013-01-01,2015-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20132015,2015,%,58,E,
KEN,2014-01-01,2016-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20142016,2016,%,59,E,
KEN,2015-01-01,2017-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20152017,2017,%,59,E,
KEN,2016-01-01,2018-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20162018,2018,%,58,E,
KEN,2017-01-01,2019-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20172019,2019,%,58,E,
KEN,2018-01-01,2020-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20182020,2020,%,56,E,
KEN,2019-01-01,2021-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20192021,2021,%,53,E,
KEN,2020-01-01,2022-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20202022,2022,%,50,E,
KEN,2021-01-01,2023-12-31,114,'404,Kenya,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20212023,2023,%,50,E,
