Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Release Code,Release,Unit,Value,Flag
KEN,2021-01-01,2021-12-31,114,'404,Kenya,7005,Prevalence of unaffordability (PUA),6121,Value,2021,2021,7S2026,July 2026 (SOFI report),%,78.0,E
KEN,2022-01-01,2022-12-31,114,'404,Kenya,7005,Prevalence of unaffordability (PUA),6121,Value,2022,2022,7S2026,July 2026 (SOFI report),%,77.8,E
KEN,2023-01-01,2023-12-31,114,'404,Kenya,7005,Prevalence of unaffordability (PUA),6121,Value,2023,2023,7S2026,July 2026 (SOFI report),%,76.9,E
KEN,2024-01-01,2024-12-31,114,'404,Kenya,7005,Prevalence of unaffordability (PUA),6121,Value,2024,2024,7S2026,July 2026 (SOFI report),%,76.4,E
KEN,2025-01-01,2025-12-31,114,'404,Kenya,7005,Prevalence of unaffordability (PUA),6121,Value,2025,2025,7S2026,July 2026 (SOFI report),%,76.3,E
KEN,2017-01-01,2017-12-31,114,'404,Kenya,7006,Number of people unable to afford a healthy diet (NUA),6132,Value,2017,2017,7S2026,July 2026 (SOFI report),million No,34.3,E
KEN,2018-01-01,2018-12-31,114,'404,Kenya,7006,Number of people unable to afford a healthy diet (NUA),6132,Value,2018,2018,7S2026,July 2026 (SOFI report),million No,35.1,E
KEN,2019-01-01,2019-12-31,114,'404,Kenya,7006,Number of people unable to afford a healthy diet (NUA),6132,Value,2019,2019,7S2026,July 2026 (SOFI report),million No,36.9,E
KEN,2020-01-01,2020-12-31,114,'404,Kenya,7006,Number of people unable to afford a healthy diet (NUA),6132,Value,2020,2020,7S2026,July 2026 (SOFI report),million No,39.8,E
KEN,2021-01-01,2021-12-31,114,'404,Kenya,7006,Number of people unable to afford a healthy diet (NUA),6132,Value,2021,2021,7S2026,July 2026 (SOFI report),million No,41.5,E
KEN,2022-01-01,2022-12-31,114,'404,Kenya,7006,Number of people unable to afford a healthy diet (NUA),6132,Value,2022,2022,7S2026,July 2026 (SOFI report),million No,42.2,E
KEN,2023-01-01,2023-12-31,114,'404,Kenya,7006,Number of people unable to afford a healthy diet (NUA),6132,Value,2023,2023,7S2026,July 2026 (SOFI report),million No,42.6,E
KEN,2024-01-01,2024-12-31,114,'404,Kenya,7006,Number of people unable to afford a healthy diet (NUA),6132,Value,2024,2024,7S2026,July 2026 (SOFI report),million No,43.1,E
KEN,2025-01-01,2025-12-31,114,'404,Kenya,7006,Number of people unable to afford a healthy diet (NUA),6132,Value,2025,2025,7S2026,July 2026 (SOFI report),million No,43.9,E
