Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Feb 2026,KEN,53331000,,Tana River,current,2026-01-01,2026-03-31,all,370000,1.0
Feb 2026,KEN,53331000,,Tana River,current,2026-01-01,2026-03-31,3+,185000,0.5
Feb 2026,KEN,53331000,,Tana River,current,2026-01-01,2026-03-31,1,55500,0.15
Feb 2026,KEN,53331000,,Tana River,current,2026-01-01,2026-03-31,2,129500,0.35
Feb 2026,KEN,53331000,,Tana River,current,2026-01-01,2026-03-31,3,129500,0.35
Feb 2026,KEN,53331000,,Tana River,current,2026-01-01,2026-03-31,4,55500,0.15
Feb 2026,KEN,53331000,,Tana River,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Tana River,first projection,2026-04-01,2026-06-30,all,370000,1.0
Feb 2026,KEN,53331000,,Tana River,first projection,2026-04-01,2026-06-30,3+,203500,0.55
Feb 2026,KEN,53331000,,Tana River,first projection,2026-04-01,2026-06-30,1,55500,0.15
Feb 2026,KEN,53331000,,Tana River,first projection,2026-04-01,2026-06-30,2,111000,0.3
Feb 2026,KEN,53331000,,Tana River,first projection,2026-04-01,2026-06-30,3,148000,0.4
Feb 2026,KEN,53331000,,Tana River,first projection,2026-04-01,2026-06-30,4,55500,0.15
Feb 2026,KEN,53331000,,Tana River,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Tharaka Nithi,current,2026-01-01,2026-03-31,all,284700,1.0
Feb 2026,KEN,53331000,,Tharaka Nithi,current,2026-01-01,2026-03-31,3+,42705,0.15
Feb 2026,KEN,53331000,,Tharaka Nithi,current,2026-01-01,2026-03-31,1,85410,0.3
Feb 2026,KEN,53331000,,Tharaka Nithi,current,2026-01-01,2026-03-31,2,156585,0.55
Feb 2026,KEN,53331000,,Tharaka Nithi,current,2026-01-01,2026-03-31,3,42705,0.15
Feb 2026,KEN,53331000,,Tharaka Nithi,current,2026-01-01,2026-03-31,4,0,0
Feb 2026,KEN,53331000,,Tharaka Nithi,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Tharaka Nithi,first projection,2026-04-01,2026-06-30,all,284700,1.0
Feb 2026,KEN,53331000,,Tharaka Nithi,first projection,2026-04-01,2026-06-30,3+,28470,0.1
Feb 2026,KEN,53331000,,Tharaka Nithi,first projection,2026-04-01,2026-06-30,1,113880,0.4
Feb 2026,KEN,53331000,,Tharaka Nithi,first projection,2026-04-01,2026-06-30,2,142350,0.5
Feb 2026,KEN,53331000,,Tharaka Nithi,first projection,2026-04-01,2026-06-30,3,28470,0.1
Feb 2026,KEN,53331000,,Tharaka Nithi,first projection,2026-04-01,2026-06-30,4,0,0
Feb 2026,KEN,53331000,,Tharaka Nithi,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Turkana,current,2026-01-01,2026-03-31,all,1074000,1.0
Feb 2026,KEN,53331000,,Turkana,current,2026-01-01,2026-03-31,3+,322200,0.3
Feb 2026,KEN,53331000,,Turkana,current,2026-01-01,2026-03-31,1,214800,0.2
Feb 2026,KEN,53331000,,Turkana,current,2026-01-01,2026-03-31,2,537000,0.5
Feb 2026,KEN,53331000,,Turkana,current,2026-01-01,2026-03-31,3,268500,0.25
Feb 2026,KEN,53331000,,Turkana,current,2026-01-01,2026-03-31,4,53700,0.05
Feb 2026,KEN,53331000,,Turkana,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Turkana,first projection,2026-04-01,2026-06-30,all,1074000,1.0
Feb 2026,KEN,53331000,,Turkana,first projection,2026-04-01,2026-06-30,3+,322200,0.3
Feb 2026,KEN,53331000,,Turkana,first projection,2026-04-01,2026-06-30,1,161100,0.15
Feb 2026,KEN,53331000,,Turkana,first projection,2026-04-01,2026-06-30,2,590700,0.55
Feb 2026,KEN,53331000,,Turkana,first projection,2026-04-01,2026-06-30,3,268500,0.25
Feb 2026,KEN,53331000,,Turkana,first projection,2026-04-01,2026-06-30,4,53700,0.05
Feb 2026,KEN,53331000,,Turkana,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Wajir,current,2026-01-01,2026-03-31,all,915000,1.0
Feb 2026,KEN,53331000,,Wajir,current,2026-01-01,2026-03-31,3+,274500,0.3
Feb 2026,KEN,53331000,,Wajir,current,2026-01-01,2026-03-31,1,183000,0.2
Feb 2026,KEN,53331000,,Wajir,current,2026-01-01,2026-03-31,2,457500,0.5
Feb 2026,KEN,53331000,,Wajir,current,2026-01-01,2026-03-31,3,228750,0.25
Feb 2026,KEN,53331000,,Wajir,current,2026-01-01,2026-03-31,4,45750,0.05
Feb 2026,KEN,53331000,,Wajir,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Wajir,first projection,2026-04-01,2026-06-30,all,915000,1.0
Feb 2026,KEN,53331000,,Wajir,first projection,2026-04-01,2026-06-30,3+,366000,0.4
Feb 2026,KEN,53331000,,Wajir,first projection,2026-04-01,2026-06-30,1,91500,0.1
Feb 2026,KEN,53331000,,Wajir,first projection,2026-04-01,2026-06-30,2,457500,0.5
Feb 2026,KEN,53331000,,Wajir,first projection,2026-04-01,2026-06-30,3,274500,0.3
Feb 2026,KEN,53331000,,Wajir,first projection,2026-04-01,2026-06-30,4,91500,0.1
Feb 2026,KEN,53331000,,Wajir,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,West Pokot,current,2026-01-01,2026-03-31,all,706000,1.0
Feb 2026,KEN,53331000,,West Pokot,current,2026-01-01,2026-03-31,3+,70600,0.1
Feb 2026,KEN,53331000,,West Pokot,current,2026-01-01,2026-03-31,1,423600,0.6
Feb 2026,KEN,53331000,,West Pokot,current,2026-01-01,2026-03-31,2,211800,0.3
Feb 2026,KEN,53331000,,West Pokot,current,2026-01-01,2026-03-31,3,70600,0.1
Feb 2026,KEN,53331000,,West Pokot,current,2026-01-01,2026-03-31,4,0,0
Feb 2026,KEN,53331000,,West Pokot,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,West Pokot,first projection,2026-04-01,2026-06-30,all,706000,1.0
Feb 2026,KEN,53331000,,West Pokot,first projection,2026-04-01,2026-06-30,3+,35300,0.05
Feb 2026,KEN,53331000,,West Pokot,first projection,2026-04-01,2026-06-30,1,458900,0.65
Feb 2026,KEN,53331000,,West Pokot,first projection,2026-04-01,2026-06-30,2,211800,0.3
Feb 2026,KEN,53331000,,West Pokot,first projection,2026-04-01,2026-06-30,3,35300,0.05
Feb 2026,KEN,53331000,,West Pokot,first projection,2026-04-01,2026-06-30,4,0,0
Feb 2026,KEN,53331000,,West Pokot,first projection,2026-04-01,2026-06-30,5,0,0
