Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Feb 2026,KEN,53331000,,Isiolo,current,2026-01-01,2026-03-31,2,148500,0.45
Feb 2026,KEN,53331000,,Isiolo,current,2026-01-01,2026-03-31,3,66000,0.2
Feb 2026,KEN,53331000,,Isiolo,current,2026-01-01,2026-03-31,4,0,0
Feb 2026,KEN,53331000,,Isiolo,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Isiolo,first projection,2026-04-01,2026-06-30,all,330000,1.0
Feb 2026,KEN,53331000,,Isiolo,first projection,2026-04-01,2026-06-30,3+,82500,0.25
Feb 2026,KEN,53331000,,Isiolo,first projection,2026-04-01,2026-06-30,1,99000,0.3
Feb 2026,KEN,53331000,,Isiolo,first projection,2026-04-01,2026-06-30,2,148500,0.45
Feb 2026,KEN,53331000,,Isiolo,first projection,2026-04-01,2026-06-30,3,82500,0.25
Feb 2026,KEN,53331000,,Isiolo,first projection,2026-04-01,2026-06-30,4,0,0
Feb 2026,KEN,53331000,,Isiolo,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Lamu,current,2026-01-01,2026-03-31,all,176000,1.0
Feb 2026,KEN,53331000,,Lamu,current,2026-01-01,2026-03-31,3+,26400,0.15
Feb 2026,KEN,53331000,,Lamu,current,2026-01-01,2026-03-31,1,61600,0.35
Feb 2026,KEN,53331000,,Lamu,current,2026-01-01,2026-03-31,2,88000,0.5
Feb 2026,KEN,53331000,,Lamu,current,2026-01-01,2026-03-31,3,26400,0.15
Feb 2026,KEN,53331000,,Lamu,current,2026-01-01,2026-03-31,4,0,0
Feb 2026,KEN,53331000,,Lamu,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Lamu,first projection,2026-04-01,2026-06-30,all,176000,1.0
Feb 2026,KEN,53331000,,Lamu,first projection,2026-04-01,2026-06-30,3+,35200,0.2
Feb 2026,KEN,53331000,,Lamu,first projection,2026-04-01,2026-06-30,1,52800,0.3
Feb 2026,KEN,53331000,,Lamu,first projection,2026-04-01,2026-06-30,2,88000,0.5
Feb 2026,KEN,53331000,,Lamu,first projection,2026-04-01,2026-06-30,3,35200,0.2
Feb 2026,KEN,53331000,,Lamu,first projection,2026-04-01,2026-06-30,4,0,0
Feb 2026,KEN,53331000,,Lamu,first projection,2026-04-01,2026-06-30,5,0,0
